scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002982,0.006641,0.479299,0.051816,0.141051,0.055416,1.111019,0.000000,3364.268710,2408.445500,14009.982020
S2a,0.014255,0.024436,0.495246,0.090737,0.204241,0.106495,1.111019,0.000000,4358.624957,4731.141500,7161.619560
S2b,0.018044,0.026125,0.511735,0.155726,0.141051,0.261431,1.111019,0.000556,1979.683461,1611.114000,4986.272150
S3a,0.051972,0.079067,0.579607,0.098749,0.161822,0.301758,1.111019,0.251556,3186.973794,3448.378500,5926.733670
S3b,0.100491,0.138634,0.722440,0.640039,0.566709,0.538204,1.111019,0.116222,1481.082092,1407.861000,3630.979840
S4,0.006460,0.014550,0.482121,0.145107,0.141051,0.158161,1.111019,0.261556,1415.704553,1358.927000,2931.968600
S6,0.002982,0.006641,0.484931,0.051815,0.141051,0.055416,1.111019,0.000000,1415.305127,1323.017500,3149.227620
S7,0.009991,0.007280,0.479300,0.165878,0.141051,0.055416,1.111019,0.000000,1374.647171,1316.485500,2820.987210
S8,0.109176,0.126515,0.582635,0.250205,0.373628,0.851216,1.111019,0.257444,3193.665769,3446.496000,6483.491540
