scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.135944,0.202112,0.830255,1.606013,2.099196,1.008156,3.727174,0.328000,740.355630,692.150000,1857.960960
S2a,0.168078,0.139307,0.855444,2.898382,1.609236,1.418812,2.382371,0.271222,801.671869,731.018500,2062.372010
S2b,0.052914,0.116951,0.998014,0.895337,1.544302,0.833669,4.349457,0.282000,724.453809,694.381000,1716.859650
S3a,0.141555,0.188305,1.180055,2.349359,1.231231,2.484406,3.563102,0.428889,733.944937,699.515000,1888.764600
S3b,0.273725,0.199680,0.873361,2.517339,2.749905,2.308650,3.094358,0.313889,714.117483,689.548000,1685.773170
S4,0.263285,0.566005,63.773350,3.180217,1.160273,2.592696,21.360891,0.640889,723.837661,670.884000,1941.245100
S6,0.027384,0.070753,0.786751,0.713407,1.454468,0.636312,2.382371,0.221222,700.438008,677.169000,1694.025440
S7,0.049921,0.101274,0.741447,1.127843,1.329380,0.767562,2.382371,0.234333,822.626652,735.025500,2090.806330
S8,0.793350,0.211801,4.070067,4.933099,2.406171,2.024337,8.458507,0.499444,721.651917,687.929000,1761.034790
