scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021577,0.017523,0.613498,0.707954,0.247228,0.228827,0.958501,0.000000,766.839402,655.166500,1958.903970
S2a,0.204748,0.242664,0.650536,2.941141,1.894817,2.375772,1.354187,0.072000,680.225815,573.664000,2037.007540
S2b,0.084921,0.142897,0.618063,1.360772,1.435662,1.902613,0.958501,0.034500,645.131881,551.815500,1772.887600
S3a,0.154297,0.189619,0.674994,1.381851,1.608878,1.769533,1.538686,0.084167,676.909688,550.510500,1939.711820
S3b,0.216154,0.267020,0.720523,2.905093,2.087582,4.108026,2.603320,0.135000,756.152718,551.887500,1829.168470
S4,0.200845,0.215613,0.942570,1.583977,1.568064,2.485445,0.958501,0.107667,681.899908,550.512500,1803.274840
S5,0.432456,0.305811,0.986496,2.667534,2.589998,4.175799,4.733377,0.354000,673.320110,556.712500,1975.195860
S6,0.033510,0.039698,0.615251,0.707954,0.738224,0.316806,0.958501,0.001833,656.643605,550.067500,1672.759490
S7,0.052512,0.036848,0.613537,1.138527,1.004592,0.555010,0.958501,0.010000,678.515668,549.274000,1809.620700
S8,0.167705,0.171180,0.673922,1.714387,1.957806,2.513215,1.667020,0.083500,729.120331,584.848500,2194.291660
