scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.081166,0.131409,0.777923,1.121375,1.536053,0.629357,2.799091,0.264444,756.534415,703.934500,1871.044990
S2a,0.167077,0.212496,3.091603,1.695021,2.666542,1.962836,9.210337,0.284889,788.945527,735.225000,1922.463590
S2b,0.142393,0.102702,0.761491,2.097272,1.339397,1.620863,2.486435,0.257444,799.737984,745.486500,1795.787150
S3a,0.106730,0.139559,0.895678,1.910326,1.347638,2.251914,2.390270,0.396889,756.185566,701.738000,1932.993610
S3b,0.319477,0.290890,0.729021,3.247959,2.871125,2.455375,2.390270,0.347222,773.641423,709.836000,2069.737390
S4,0.399749,0.484717,2.403792,3.949114,1.848079,4.110605,5.387871,0.610444,775.204831,716.573000,1787.052830
S6,0.140419,0.123564,0.843089,2.609456,1.600826,1.392984,3.227517,0.303444,797.635849,748.322000,1951.625300
S7,0.310115,0.346831,1.789749,3.889998,2.564984,2.581034,4.959899,0.382111,966.474402,865.695500,2394.084140
S8,0.179450,0.241599,1.264395,2.253218,2.187765,3.348995,6.061231,0.433333,932.177953,861.440000,2307.398460
