scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.098580,0.154361,0.832262,2.096457,2.567385,1.911021,5.040945,0.293889,803.817127,721.734500,1964.818330
S2a,0.085176,0.162540,1.122384,1.887930,1.932600,1.359453,4.195936,0.298000,779.858293,699.728000,2086.044370
S2b,0.117597,0.102620,0.820092,2.520006,1.815064,1.046572,2.593354,0.252333,754.814258,692.557000,1929.778590
S3a,0.134567,0.119789,0.881335,2.110788,1.209601,1.562091,2.382371,0.414111,762.953637,697.639000,1968.152290
S3b,0.454895,0.301710,1.042272,3.381961,2.317923,4.231335,2.843293,0.365889,752.256637,694.425500,1875.703250
S4,0.206632,0.373637,4.406608,2.805608,1.615294,2.471242,6.578520,0.618444,773.696185,694.405500,1993.710670
S6,0.203373,0.190219,2.720032,4.326676,2.643856,0.707679,7.832928,0.323000,741.417698,691.725000,1824.227210
S7,0.116054,0.223464,0.842608,1.444550,2.980873,1.007099,3.588523,0.271111,748.399642,695.115500,1925.310810
S8,0.273206,0.202790,1.150319,3.674673,1.981745,1.982753,3.431755,0.437222,761.740111,689.508000,2023.827930
