scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.018348,0.000131,0.653738,0.813451,0.008502,0.030607,0.907425,0.001111,690.262597,511.435500,2510.351180
S2a,0.021638,0.026093,0.663033,0.731333,0.357444,0.401355,0.907425,0.001889,1244.765869,759.896500,3167.726190
S2b,0.021638,0.030529,0.659676,0.778464,0.467086,0.305985,0.907425,0.002667,1021.933773,661.579000,2835.826700
S3a,0.042795,0.107609,0.679639,1.041485,1.022049,1.578892,0.907425,0.158111,1212.925340,792.484500,3427.855970
S3b,0.049221,0.099302,0.680281,0.886346,0.699765,1.171517,0.907425,0.149111,1130.159057,757.903500,3040.258820
S4,0.614858,0.608154,1.151581,4.595019,2.493331,3.156408,3.095814,0.476889,784.285664,727.928000,2140.602250
S6,0.018349,0.000143,0.655227,0.813482,0.008522,0.030580,0.907425,0.001111,694.784863,460.882500,3397.585390
S7,0.020891,0.000197,0.653737,0.772147,0.018786,0.030607,0.907425,0.000889,713.677131,448.566500,2681.583390
S8,0.056014,0.100254,0.682004,1.395096,0.908428,1.640853,0.907425,0.176444,1147.142324,664.818000,3041.800920
