scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.031594,0.037879,0.478923,1.175800,1.109187,0.234616,1.111019,0.012778,1649.854245,1449.445500,4123.747270
S2a,0.029691,0.048080,0.492027,0.827751,0.472344,0.447820,1.111019,0.017333,1546.458098,1443.153500,3949.561780
S2b,0.033949,0.047397,0.511697,0.460577,0.713867,0.511920,1.111019,0.007111,1420.866757,1323.783000,3587.624350
S3a,0.118742,0.136073,0.560317,1.838447,1.518192,1.652880,1.111019,0.270333,1427.694619,1344.772500,3604.999900
S3b,0.105766,0.130084,0.671463,1.626679,1.024873,1.801013,1.111019,0.101111,1387.242145,1311.718000,3320.823140
S4,0.179310,0.712311,1.427947,2.723952,1.110186,2.202616,3.657083,0.549000,1588.000671,1443.531000,4255.101290
S6,0.024592,0.006464,0.484868,1.147185,0.248431,0.068675,1.111019,0.004222,1531.934448,1465.593500,3337.963730
S7,0.023199,0.011165,0.479244,0.994077,0.342645,0.074658,1.111019,0.004222,1679.030123,1479.784000,3464.225160
S8,0.097812,0.136001,0.562483,1.173170,1.518192,1.402098,1.111019,0.250444,1584.594545,1452.492500,4043.979090
