scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.018348,0.000131,0.653738,0.813451,0.008502,0.030607,0.907425,0.001111,691.037136,518.414000,2783.097180
S2a,0.023286,0.037452,0.663060,0.731333,0.389471,0.445548,0.907425,0.005444,1111.259056,698.307000,3047.396420
S2b,0.022553,0.045645,0.659262,0.778464,0.844387,0.463811,0.907425,0.006444,1120.173152,763.776000,2936.153430
S3a,0.037895,0.094665,0.682420,1.041485,1.042536,1.333787,0.907425,0.164444,1183.515117,776.266500,3018.926670
S3b,0.048780,0.102750,0.681237,0.886346,0.690432,1.039723,0.907425,0.150667,1245.915547,839.201000,2921.713460
S4,0.939663,0.699572,1.412341,3.627138,3.031412,4.020262,5.392339,0.520889,842.353960,784.472000,2186.522760
S6,0.018349,0.000143,0.655227,0.813482,0.008522,0.030580,0.907425,0.001111,878.177942,619.070000,2828.416900
S7,0.020891,0.000197,0.653737,0.772147,0.018786,0.030607,0.907425,0.000889,891.048959,594.365000,2900.522010
S8,0.057406,0.110115,0.686045,1.395096,0.952222,1.329388,0.907425,0.181556,1307.419844,846.629000,2838.869050
