scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021811,0.006441,0.479307,0.978100,0.238571,0.080043,1.111019,0.002111,961.699157,859.850000,2606.475890
S2a,0.055895,0.075773,0.515791,1.192120,0.965676,1.147411,1.111019,0.045778,758.065504,701.728500,1918.736610
S2b,0.028652,0.035562,0.511904,0.858781,0.400311,0.697515,1.111019,0.003778,771.114227,718.655500,1960.831110
S3a,0.129618,0.225129,0.556630,1.483831,1.397593,2.193126,1.111019,0.271222,946.325632,835.195500,2223.160390
S3b,0.158115,0.196818,0.539634,2.966938,1.487756,1.824157,1.291739,0.243333,744.485721,703.718500,1924.828820
S4,1.183069,0.675022,1.039440,4.620591,2.914375,4.565488,3.440224,0.548556,863.182133,782.266500,2139.582970
S6,0.023198,0.006607,0.484875,0.978042,0.238571,0.072235,1.111019,0.002889,816.845547,750.470500,2135.639920
S7,0.026142,0.010235,0.479359,0.921865,0.277278,0.116254,1.111019,0.002222,788.013042,732.834000,1790.497790
S8,0.119198,0.133957,0.547637,2.237767,1.339338,2.035228,1.145492,0.243444,731.393284,687.868500,1701.229570
