scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.003257,0.006609,0.479299,0.051726,0.149802,0.108418,1.111019,0.000000,2962.412280,2155.793500,8522.228700
S2a,0.030911,0.033854,0.488917,0.439216,0.576813,1.415495,1.111019,0.003778,3221.197810,3667.974000,6764.051060
S2b,0.038321,0.039019,0.506013,0.397080,0.386097,1.429982,1.111019,0.006667,1563.156323,1421.844000,3895.589400
S3a,0.045642,0.042614,0.535799,0.121931,0.150986,1.731073,1.111019,0.130778,3380.651029,3638.188500,6160.239960
S3b,0.102218,0.053445,0.643811,0.626049,0.562999,2.988200,1.111019,0.048889,1542.748357,1447.395000,3964.244550
S4,0.003866,0.006722,0.482119,0.055687,0.149802,0.176008,1.111019,0.261556,1500.261063,1411.732000,3420.315410
S6,0.003256,0.006606,0.484933,0.051643,0.149802,0.108601,1.111019,0.000000,1651.934771,1443.680500,4395.988980
S7,0.011899,0.007773,0.479301,0.167413,0.149802,0.104417,1.111019,0.000000,1512.848054,1419.137500,3573.089450
S8,0.050879,0.041666,0.538634,0.226424,0.203362,1.755723,1.111019,0.132778,3290.515370,3489.114000,5619.834770
