scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002939,0.006514,0.479300,0.051832,0.152544,0.074562,1.111019,0.000000,1736.257020,1566.155000,4380.547010
S2a,0.013893,0.022396,0.494509,0.138040,0.201289,0.385257,1.111019,0.000778,3353.687023,3469.020000,7239.615620
S2b,0.022583,0.037281,0.511483,0.221651,0.297372,0.368381,1.111019,0.001556,1368.453311,1303.223500,3427.998180
S3a,0.039866,0.051480,0.566946,0.096201,0.152544,0.900764,1.111019,0.157778,3115.609309,3444.832500,4551.753600
S3b,0.094568,0.120230,0.682307,0.577227,0.915125,1.627208,1.111019,0.067444,1406.048892,1332.287000,3332.142860
S4,0.003093,0.006767,0.482120,0.053964,0.152544,0.173354,1.111019,0.261556,1424.129107,1348.654000,3023.545510
S6,0.002939,0.006514,0.484934,0.051882,0.152544,0.074477,1.111019,0.000000,1730.701190,1403.957000,4076.500740
S7,0.013661,0.007548,0.479301,0.183669,0.152544,0.131534,1.111019,0.000000,1385.001435,1339.801500,2971.789020
S8,0.049750,0.053535,0.568855,0.249871,0.189619,1.328648,1.111019,0.174222,3088.749098,3394.408000,4435.449400
