scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.019421,0.019917,0.621846,0.821757,0.341323,0.164438,0.918576,0.001333,910.404111,706.419000,1847.508710
S2a,0.052931,0.093171,0.632931,1.646043,1.183673,1.049340,0.918576,0.044111,790.490521,715.775000,2102.773750
S2b,0.037168,0.103217,0.627875,0.818396,1.538872,0.757697,0.918576,0.024889,788.923731,732.879000,1944.952370
S3a,0.096807,0.126234,0.650203,1.774316,1.140003,1.520323,0.918576,0.229222,788.075691,714.658000,1897.503690
S3b,0.131351,0.159815,0.650878,1.987005,1.310502,2.025848,1.099677,0.217111,751.083322,686.309000,1853.721820
S4,0.204877,0.521680,1.103828,3.264013,1.955085,3.397832,1.459932,0.460111,751.649845,688.217500,1955.082920
S6,0.018631,0.017726,0.623408,0.821762,0.297189,0.079705,0.918576,0.000889,754.369368,667.795000,1770.881460
S7,0.020895,0.018208,0.621844,0.821679,0.297189,0.079568,0.918576,0.000889,734.349003,659.825500,1688.935570
S8,0.089586,0.175957,0.642885,1.725069,1.242137,1.880904,0.918576,0.241333,863.927221,756.390500,2279.708740
