scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021811,0.006440,0.479307,0.978100,0.238571,0.080043,1.111019,0.002111,986.303302,817.566000,2963.406480
S2a,0.173169,0.107464,0.520139,2.105728,1.597337,1.914222,1.111019,0.077111,740.170915,652.723000,1823.883260
S2b,0.037077,0.065070,0.511714,0.720524,0.961416,0.686153,1.111019,0.014778,730.197634,679.307000,1823.959620
S3a,0.128529,0.212437,0.547170,2.309170,1.848451,1.574362,1.111019,0.265889,681.507029,614.535500,1704.117240
S3b,0.179831,0.145108,0.668391,2.913408,1.776622,1.557850,1.813442,0.136111,744.630954,654.449000,1914.148550
S4,0.255798,0.760332,1.320471,2.655116,1.074735,1.828954,1.474374,0.501778,695.232055,625.252500,1692.512720
S6,0.023198,0.006607,0.484875,0.978042,0.238571,0.072235,1.111019,0.002889,863.738857,786.812500,2041.231230
S7,0.026092,0.008632,0.479358,0.921865,0.277310,0.116254,1.111019,0.002222,820.702325,733.967000,2049.817080
S8,0.227205,0.145247,0.579291,3.253224,2.065759,2.430704,2.228681,0.290444,736.101779,676.906000,1837.812460
