scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002953,0.006577,0.479299,0.051941,0.148473,0.066289,1.111019,0.000000,2351.856329,1923.062000,8365.670480
S2a,0.013866,0.022900,0.495015,0.098138,0.177175,0.269600,1.111019,0.000111,3464.349923,3604.557500,8413.241070
S2b,0.020630,0.033042,0.511092,0.155801,0.178884,0.355725,1.111019,0.000000,1682.496831,1488.409500,4190.110170
S3a,0.040195,0.055150,0.573504,0.096589,0.150349,0.642565,1.111019,0.194889,4010.248121,4019.308500,8198.683380
S3b,0.117415,0.095306,0.699612,0.933352,0.758849,1.194276,1.111019,0.085111,1580.179938,1472.384500,3922.725550
S4,0.003366,0.007384,0.482117,0.053030,0.148473,0.165259,1.111019,0.261556,1491.412539,1387.349000,3332.598970
S6,0.002952,0.006577,0.484932,0.051900,0.148473,0.066247,1.111019,0.000000,1478.840645,1380.482000,3279.372100
S7,0.013890,0.006788,0.479300,0.237604,0.148473,0.072865,1.111019,0.000000,1348.802947,1297.622000,2801.980980
S8,0.056068,0.061912,0.574880,0.249354,0.214330,1.211329,1.111019,0.207667,4218.572165,4204.064000,7463.391060
