scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.033447,0.032160,0.488819,0.655273,0.480113,0.176019,1.034278,0.001333,872.693523,748.056000,2583.752940
S2a,0.067367,0.075152,0.524237,0.812914,1.676991,0.666963,1.034278,0.016500,762.795155,626.579500,2759.199640
S2b,0.185343,0.185448,0.512124,2.568696,1.774315,2.352906,1.197049,0.084167,786.692004,655.409000,2363.000940
S3a,0.170848,0.146116,0.635038,1.829062,1.105507,1.445303,1.034278,0.054167,669.377512,581.709500,1921.817720
S3b,0.181877,0.246058,0.545216,1.650333,1.765366,3.181412,1.289558,0.126167,720.681083,595.781000,2174.357780
S4,0.355438,0.278379,0.995356,3.322180,1.858661,2.503271,1.798811,0.157167,710.969012,614.129500,2310.997150
S5,0.403468,0.317839,0.897325,2.564998,2.250716,3.826775,2.546779,0.365000,740.167391,605.367500,2352.560460
S6,0.023367,0.015331,0.494356,0.570896,0.292648,0.087339,1.034278,0.000000,773.310131,650.741000,2429.945340
S7,0.135987,0.157244,0.489544,2.330943,2.472625,1.409875,1.034278,0.047167,789.411698,656.729000,2551.058340
S8,0.134106,0.109516,0.622973,1.270841,1.114287,1.331085,1.034278,0.054000,678.307725,595.172000,2004.702070
