scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,993.503969,813.953500,3494.512970
S2a,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,728.372193,625.906000,2217.542560
S2b,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,688.087398,584.482500,2430.651020
S3a,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,644.132389,564.182500,1911.027970
S3b,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,718.513861,614.560500,2296.852560
S4,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,793.492570,628.966000,2669.524660
S5,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,848.496283,656.181500,2612.329710
S6,0.119060,0.250557,3.023907,0.211852,0.122534,0.213591,1.474140,0.000000,887.317155,688.291500,3501.711010
S7,1.883615,0.299564,41.899052,1.340053,0.147532,0.240200,28.961803,0.000000,847.549098,670.857500,3127.747820
S8,1.473095,0.258586,20.890528,1.316366,0.151760,0.230634,21.697356,0.000000,674.663326,584.936500,2067.562690
