scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021811,0.006439,0.479307,0.978100,0.238571,0.080043,1.111019,0.002111,1049.138877,905.981500,3031.568930
S2a,0.056799,0.067673,0.517114,1.128880,0.923090,0.577138,1.111019,0.037667,899.130963,795.289000,2390.393010
S2b,0.035900,0.054315,0.510521,0.752616,0.833726,0.860805,1.111019,0.011333,888.458806,767.109000,2406.946830
S3a,0.089709,0.129534,0.553521,1.693758,1.290152,1.517987,1.111019,0.235111,945.724586,817.194500,2402.721450
S3b,0.100491,0.136415,0.543263,1.083684,1.054638,1.703644,1.111019,0.210333,971.714537,843.872000,2658.399200
S4,0.378620,0.621360,1.124646,3.651918,2.557788,3.267445,1.596579,0.511222,871.789106,759.906000,2430.129100
S6,0.023198,0.006607,0.484875,0.978042,0.238571,0.072235,1.111019,0.002889,792.001294,722.513500,1923.213590
S7,0.026066,0.008209,0.479358,0.921865,0.277350,0.116254,1.111019,0.002222,781.226703,717.611500,1740.672920
S8,0.095009,0.133353,0.549126,1.621530,1.085987,1.836788,1.111019,0.218333,798.985372,725.544000,1957.051740
