scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.021811,0.006441,0.479307,0.978100,0.238571,0.080043,1.111019,0.002111,737.711651,644.427500,1753.394650
S2a,0.068184,0.068790,0.518478,1.355927,1.177565,1.259489,1.111019,0.046556,821.205012,740.205000,2006.746900
S2b,0.031723,0.070221,0.513228,0.727557,1.091734,0.624590,1.111019,0.016556,730.573365,678.020500,1745.205410
S3a,0.124520,0.172123,0.552261,2.179800,1.293575,1.885779,1.111019,0.254889,736.439131,665.802000,1776.944670
S3b,0.158915,0.233015,0.688942,1.799158,1.723804,2.939424,1.345852,0.161222,790.143851,653.322500,1989.394070
S4,0.617080,0.689769,1.265927,4.393683,1.871329,2.959504,2.168256,0.512333,760.875061,716.187000,1821.894320
S6,0.023197,0.006603,0.484875,0.978042,0.238571,0.072235,1.111019,0.002889,803.421783,743.650000,1875.017180
S7,0.026083,0.008347,0.479358,0.921865,0.277337,0.116254,1.111019,0.002222,744.804850,694.609000,1762.480620
S8,0.139090,0.204458,0.770579,1.498823,1.473063,2.543840,3.730253,0.278667,818.740702,763.111500,2010.996630
