scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,871.181285,715.389500,3254.008890
S2a,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,711.621804,604.047000,2187.757110
S2b,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,644.966325,571.098500,1919.817920
S3a,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,770.146336,629.067500,2960.291370
S3b,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,818.360815,672.984500,2552.852650
S4,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,774.315026,667.449000,2334.464380
S5,0.119060,0.250557,1.850726,0.211852,0.122534,0.213591,0.416747,0.000000,794.310395,664.935500,2671.929100
S6,0.119060,0.250557,3.023907,0.211852,0.122534,0.213591,1.474140,0.000000,773.719473,629.389000,2444.179300
S7,1.883615,0.299564,41.899052,1.340053,0.147532,0.240200,28.961803,0.000000,840.823081,669.112000,2889.583690
S8,1.473095,0.258586,20.890528,1.316366,0.151760,0.230634,21.697356,0.000000,734.006109,621.498000,2432.016920
