scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.003257,0.006609,0.479299,0.051726,0.149802,0.108418,1.111019,0.000000,1860.333768,1631.607500,5148.346080
S2a,0.030911,0.033854,0.488917,0.439216,0.576813,1.415495,1.111019,0.003778,3045.334761,3379.417000,6112.813490
S2b,0.038321,0.039019,0.506013,0.397080,0.386097,1.429982,1.111019,0.006667,1448.510793,1348.762000,3659.563630
S3a,0.045642,0.042614,0.535799,0.121931,0.150986,1.731073,1.111019,0.130778,3571.679040,3783.940500,8060.549590
S3b,0.102218,0.053445,0.643811,0.626049,0.562999,2.988200,1.111019,0.048889,1584.977740,1449.143000,3782.128360
S4,0.424646,0.578048,1.266448,2.959377,1.897613,3.359983,2.003995,0.532000,2410.471310,1588.115500,5922.409800
S6,0.003256,0.006606,0.484933,0.051643,0.149802,0.108601,1.111019,0.000000,1670.170659,1504.393500,4401.193910
S7,0.011899,0.007773,0.479301,0.167413,0.149802,0.104417,1.111019,0.000000,1984.262570,1627.812000,5242.765740
S8,0.050879,0.041666,0.538634,0.226424,0.203362,1.755723,1.111019,0.132778,3239.688199,3447.957500,5384.632820
