scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.068965,0.114423,1.030782,1.038950,1.857452,1.344950,4.137166,0.248222,790.694794,678.763500,2284.726170
S2a,0.139874,0.131393,1.099832,2.268195,2.131276,1.377885,4.447791,0.255667,719.948647,645.317000,2062.784840
S2b,0.117131,0.156797,1.163225,1.525872,2.283068,2.559966,4.162567,0.308000,734.860291,664.360000,1954.330790
S3a,0.378122,0.298871,1.782343,4.204674,2.557515,2.994941,5.518519,0.460778,717.926258,645.345500,1891.691310
S3b,0.377972,0.369127,1.083521,4.213764,2.981819,2.543013,5.179814,0.358667,772.620840,667.770000,2169.109180
S4,0.413786,0.571583,12.041589,3.818958,2.350730,2.827067,14.793534,0.618000,756.268060,666.236500,1973.267790
S6,0.218251,0.225364,0.983262,2.932914,2.478766,1.685810,4.678756,0.300222,1030.291872,856.312000,3729.483890
S7,0.197266,0.269600,1.191168,2.072317,2.851127,2.362550,5.825294,0.316444,814.289639,700.146500,2474.721570
S8,0.234983,0.158716,1.131215,3.359654,2.111766,1.917302,2.222711,0.378444,946.384673,791.713000,3849.470720
