scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002973,0.006647,0.479299,0.051406,0.145033,0.075459,1.111019,0.000000,1914.541774,1686.719000,4978.098870
S2a,0.024874,0.027204,0.493635,0.276902,0.210890,0.625329,1.111019,0.004444,3692.142147,3832.511000,10458.236020
S2b,0.031551,0.028236,0.511416,0.188091,0.145033,0.684930,1.111019,0.000111,1822.826307,1600.001000,4356.210180
S3a,0.045522,0.053933,0.565838,0.098554,0.151254,0.937183,1.111019,0.151444,3713.662922,3837.565500,7901.120110
S3b,0.120155,0.100236,0.691071,0.444802,0.672680,2.105593,1.111019,0.070000,1652.419679,1528.115000,3954.262340
S4,0.003342,0.006820,0.482119,0.058251,0.145033,0.175187,1.111019,0.261556,1675.027001,1559.523000,3476.718450
S6,0.002973,0.006647,0.484932,0.051403,0.145033,0.075525,1.111019,0.000000,1920.549133,1667.736000,4256.428800
S7,0.014562,0.007033,0.479300,0.183411,0.145033,0.126408,1.111019,0.000000,1813.064011,1588.276000,3922.060840
S8,0.055519,0.055258,0.567848,0.247760,0.198294,1.333959,1.111019,0.167667,3808.663455,3925.466000,7667.833060
