scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002978,0.006632,0.479300,0.051818,0.141583,0.055416,1.111019,0.000000,2451.865851,2050.905000,6923.620490
S2a,0.014585,0.025255,0.495077,0.139986,0.305691,0.203527,1.111019,0.001000,3939.356094,4037.729000,8884.069230
S2b,0.016922,0.028477,0.511728,0.076009,0.141583,0.184182,1.111019,0.000000,1441.658193,1337.928500,3417.738260
S3a,0.046230,0.068751,0.578670,0.097849,0.156404,0.371435,1.111019,0.241222,3505.529763,3678.900000,7715.921590
S3b,0.086876,0.119960,0.719248,0.301233,0.470612,0.709803,1.111019,0.105556,1529.974659,1424.031000,3787.910520
S4,0.004340,0.011601,0.482118,0.091903,0.143660,0.196231,1.111019,0.261556,1558.947715,1437.302500,3994.301780
S6,0.002978,0.006633,0.484932,0.051816,0.141583,0.055416,1.111019,0.000000,1500.940292,1356.654500,3303.145500
S7,0.011352,0.007334,0.479300,0.151887,0.141583,0.080205,1.111019,0.000000,1365.328901,1329.615000,2918.166490
S8,0.086871,0.099233,0.580576,0.226494,0.313780,0.969666,1.111019,0.249111,3076.478285,3395.458500,4398.266950
