scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.002978,0.006632,0.479300,0.051818,0.141583,0.055416,1.111019,0.000000,1656.368496,1443.415500,4692.350020
S2a,0.014585,0.025255,0.495077,0.139986,0.305691,0.203527,1.111019,0.001000,3517.485243,3529.991000,7793.199050
S2b,0.016922,0.028477,0.511728,0.076009,0.141583,0.184182,1.111019,0.000000,1696.519546,1463.596000,4507.912350
S3a,0.046230,0.068751,0.578670,0.097849,0.156404,0.371435,1.111019,0.241222,3584.118323,3702.072500,7657.477310
S3b,0.086876,0.119960,0.719248,0.301233,0.470612,0.709803,1.111019,0.105556,1566.320352,1477.334000,3674.305990
S4,0.004340,0.011601,0.482118,0.091903,0.143660,0.196231,1.111019,0.261556,1369.887490,1308.705000,2684.966810
S6,0.002978,0.006633,0.484932,0.051816,0.141583,0.055416,1.111019,0.000000,1436.236599,1377.008500,2908.078460
S7,0.011352,0.007334,0.479300,0.151887,0.141583,0.080205,1.111019,0.000000,1517.621607,1398.618000,3666.234880
S8,0.086871,0.099233,0.580576,0.226494,0.313780,0.969666,1.111019,0.249111,3197.582875,3444.455500,5311.038970
