scenario,rms_phi,rms_theta,rms_z_err,peak_p,peak_q,peak_r,peak_w,sat_rate,mean_iter_us,p50_iter_us,p99_iter_us
S1,0.019420,0.019922,0.621846,0.821757,0.341292,0.164436,0.918576,0.001333,894.977053,753.460500,2385.137720
S2a,0.120912,0.127823,0.634617,2.810495,1.807321,1.657722,2.084427,0.094778,897.341595,790.051500,2246.425900
S2b,0.034475,0.057189,0.628285,0.663764,1.384421,0.581205,0.918576,0.010444,957.141402,841.713000,2329.795300
S3a,0.164342,0.161798,0.667584,2.999325,1.565976,1.734193,2.251668,0.248000,1094.849741,908.216000,2815.084760
S3b,0.085333,0.144566,0.649481,1.008514,0.857355,1.732909,0.918576,0.196778,1027.680515,903.623500,2672.575470
S4,0.300819,0.628785,1.133081,3.454407,2.058888,2.277445,2.328799,0.466778,1090.681244,956.097000,3003.043250
S6,0.018631,0.017726,0.623408,0.821762,0.297189,0.079705,0.918576,0.000889,1163.652472,1002.977000,2487.189500
S7,0.020865,0.018201,0.621844,0.821679,0.297189,0.079568,0.918576,0.000889,1136.907315,1003.413500,2642.087600
S8,0.179733,0.144018,0.669018,2.999775,1.567148,1.803935,2.252230,0.251778,1062.576819,936.659500,2774.866880
